ticket_id,platform,priority,status,assigned_group,title,description,root_cause,resolution_summary,created_date,resolved_date,app_link,full_text,full_text_clean,cluster_id
JIRA-1065,Jira,High,Open,Helpdesk,503 service unavailable,Database query execution time exceeding normal threshold.,Firewall misconfiguration,Optimized memory allocation and redeployed.,2025-02-03 21:00:00,2025-02-06 08:00:00,https://jira.example.com/browse/JIRA-1065,Jira - 503 service unavailable Database query execution time exceeding normal threshold.,jira - 503 service unavailable database query execution time exceeding normal threshold.,0
TAB-1086,Tableau,Critical,In Progress,Cloud Team,Slow performance on Tableau report,Interactive filters returning empty result set.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-06 06:00:00,2025-01-07 16:00:00,https://tableau.example.com/views/TAB-1086,Tableau - Slow performance on Tableau report Interactive filters returning empty result set.,tableau - slow performance on tableau report interactive filters returning empty result set.,6
CW-1035,CloudWatch,Low,Open,Network Ops,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,Infinite loop execution,Scaled instance type.,2025-01-09 21:00:00,2025-01-12 12:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1035,CloudWatch - CloudWatch alarm triggered for CPU threshold Auto-recovery event performed by AWS.,cloudwatch - cloudwatch alarm triggered for cpu threshold auto-recovery event performed by aws.,10
JIRA-1067,Jira,High,Closed,Cloud Team,503 service unavailable,Users reported service disruptions affecting business workflow.,Firewall misconfiguration,Renewed authentication certificate.,2025-01-01 14:00:00,2025-01-03 17:00:00,https://jira.example.com/browse/JIRA-1067,Jira - 503 service unavailable Users reported service disruptions affecting business workflow.,jira - 503 service unavailable users reported service disruptions affecting business workflow.,12
TAB-1127,Tableau,Low,In Progress,DevOps,Slow performance on Tableau report,Dashboard not showing newly ingested records.,Incorrect join logic in data model,Optimized query and reindexed table.,2025-01-18 05:00:00,2025-01-20 03:00:00,https://tableau.example.com/views/TAB-1127,Tableau - Slow performance on Tableau report Dashboard not showing newly ingested records.,tableau - slow performance on tableau report dashboard not showing newly ingested records.,1
TAB-1195,Tableau,High,Open,Network Ops,Extract refresh failed,Users experiencing delay in loading components.,Network throttling issue,Updated credentials and reran extract.,2025-01-15 11:00:00,2025-01-16 17:00:00,https://tableau.example.com/views/TAB-1195,Tableau - Extract refresh failed Users experiencing delay in loading components.,tableau - extract refresh failed users experiencing delay in loading components.,7
TAB-1044,Tableau,Medium,Closed,Security Ops,Missing data in visualization,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-20 09:00:00,2025-01-21 00:00:00,https://tableau.example.com/views/TAB-1044,Tableau - Missing data in visualization Scheduled extract refresh failure detected.,tableau - missing data in visualization scheduled extract refresh failure detected.,14
TAB-1177,Tableau,Low,Open,Security Ops,Permission denied on shared dashboard,Dashboard not showing newly ingested records.,Network throttling issue,Optimized query and reindexed table.,2025-01-14 09:00:00,2025-01-15 13:00:00,https://tableau.example.com/views/TAB-1177,Tableau - Permission denied on shared dashboard Dashboard not showing newly ingested records.,tableau - permission denied on shared dashboard dashboard not showing newly ingested records.,1
CW-1010,CloudWatch,Critical,Closed,Network Ops,RDS free storage space critically low,Database storage reaching capacity limits.,High read/write operations,Increased allocated resources.,2025-01-18 03:00:00,2025-01-20 06:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1010,CloudWatch - RDS free storage space critically low Database storage reaching capacity limits.,cloudwatch - rds free storage space critically low database storage reaching capacity limits.,4
PBI-1126,PowerBI,Low,Closed,DevOps,Gateway connection error,Unable to connect to on-prem data gateway.,Gateway server under maintenance,Reconfigured gateway settings and validated connectivity.,2025-01-07 02:00:00,2025-01-09 13:00:00,https://app.powerbi.com/reports/PBI-1126,PowerBI - Gateway connection error Unable to connect to on-prem data gateway.,powerbi - gateway connection error unable to connect to on-prem data gateway.,16
CW-1058,CloudWatch,Medium,Resolved,Cloud Team,RDS free storage space critically low,Elevated latency impacting application performance.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-26 19:00:00,2025-01-28 15:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1058,CloudWatch - RDS free storage space critically low Elevated latency impacting application performance.,cloudwatch - rds free storage space critically low elevated latency impacting application performance.,5
PBI-1129,PowerBI,Critical,In Progress,DevOps,Power BI refresh failed,Unable to connect to on-prem data gateway.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-24 22:00:00,2025-01-25 19:00:00,https://app.powerbi.com/reports/PBI-1129,PowerBI - Power BI refresh failed Unable to connect to on-prem data gateway.,powerbi - power bi refresh failed unable to connect to on-prem data gateway.,16
CW-1022,CloudWatch,Critical,In Progress,DBA Team,EC2 instance restart detected,Elevated latency impacting application performance.,Unbalanced traffic routing,Increased allocated resources.,2025-02-04 00:00:00,2025-02-05 02:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1022,CloudWatch - EC2 instance restart detected Elevated latency impacting application performance.,cloudwatch - ec2 instance restart detected elevated latency impacting application performance.,5
CW-1121,CloudWatch,High,Resolved,DevOps,CloudWatch alarm triggered for CPU threshold,Elevated latency impacting application performance.,High read/write operations,Increased allocated resources.,2025-01-10 16:00:00,2025-01-10 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1121,CloudWatch - CloudWatch alarm triggered for CPU threshold Elevated latency impacting application performance.,cloudwatch - cloudwatch alarm triggered for cpu threshold elevated latency impacting application performance.,5
TAB-1160,Tableau,Low,Open,DevOps,Tableau dashboard not refreshing,Users experiencing delay in loading components.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-02 19:00:00,2025-01-05 01:00:00,https://tableau.example.com/views/TAB-1160,Tableau - Tableau dashboard not refreshing Users experiencing delay in loading components.,tableau - tableau dashboard not refreshing users experiencing delay in loading components.,7
JIRA-1030,Jira,Medium,Open,Network Ops,Application crash after update,System detected performance degradation across multiple nodes.,Database deadlock,Resolved deadlock and restarted DB instance.,2025-02-02 22:00:00,2025-02-05 02:00:00,https://jira.example.com/browse/JIRA-1030,Jira - Application crash after update System detected performance degradation across multiple nodes.,jira - application crash after update system detected performance degradation across multiple nodes.,19
TAB-1060,Tableau,Critical,In Progress,DBA Team,Permission denied on shared dashboard,Scheduled extract refresh failure detected.,Tableau server CPU overload,Updated credentials and reran extract.,2025-01-05 15:00:00,2025-01-07 10:00:00,https://tableau.example.com/views/TAB-1060,Tableau - Permission denied on shared dashboard Scheduled extract refresh failure detected.,tableau - permission denied on shared dashboard scheduled extract refresh failure detected.,14
CW-1037,CloudWatch,High,In Progress,Cloud Team,RDS free storage space critically low,Elevated latency impacting application performance.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-02-03 08:00:00,2025-02-04 16:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1037,CloudWatch - RDS free storage space critically low Elevated latency impacting application performance.,cloudwatch - rds free storage space critically low elevated latency impacting application performance.,5
CW-1146,CloudWatch,High,Resolved,Network Ops,RDS free storage space critically low,Failure trend observed across multiple Lambda executions.,High read/write operations,Scaled instance type.,2025-01-22 18:00:00,2025-01-24 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1146,CloudWatch - RDS free storage space critically low Failure trend observed across multiple Lambda executions.,cloudwatch - rds free storage space critically low failure trend observed across multiple lambda executions.,18
PBI-1170,PowerBI,High,Closed,Helpdesk,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-01-07 03:00:00,2025-01-09 22:00:00,https://app.powerbi.com/reports/PBI-1170,PowerBI - Incorrect KPI values displayed Visuals stuck loading indefinitely.,powerbi - incorrect kpi values displayed visuals stuck loading indefinitely.,8
TAB-1015,Tableau,Low,Closed,Helpdesk,Missing data in visualization,Dashboard not showing newly ingested records.,Data source credentials expired,Optimized query and reindexed table.,2025-02-01 15:00:00,2025-02-01 21:00:00,https://tableau.example.com/views/TAB-1015,Tableau - Missing data in visualization Dashboard not showing newly ingested records.,tableau - missing data in visualization dashboard not showing newly ingested records.,1
JIRA-1078,Jira,Low,In Progress,Network Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-09 20:00:00,2025-01-12 18:00:00,https://jira.example.com/browse/JIRA-1078,Jira - VPN connection failure Users reported service disruptions affecting business workflow.,jira - vpn connection failure users reported service disruptions affecting business workflow.,12
PBI-1178,PowerBI,High,Resolved,Network Ops,Incorrect KPI values displayed,Unable to connect to on-prem data gateway.,Gateway authentication failure,Corrected data transformation steps.,2025-01-12 18:00:00,2025-01-13 02:00:00,https://app.powerbi.com/reports/PBI-1178,PowerBI - Incorrect KPI values displayed Unable to connect to on-prem data gateway.,powerbi - incorrect kpi values displayed unable to connect to on-prem data gateway.,8
TAB-1183,Tableau,Medium,Open,DBA Team,Permission denied on shared dashboard,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-29 08:00:00,2025-01-30 10:00:00,https://tableau.example.com/views/TAB-1183,Tableau - Permission denied on shared dashboard Interactive filters returning empty result set.,tableau - permission denied on shared dashboard interactive filters returning empty result set.,6
JIRA-1039,Jira,Low,In Progress,Network Ops,User unable to login,Application not responding after deployment activities.,Firewall misconfiguration,Optimized memory allocation and redeployed.,2025-01-10 10:00:00,2025-01-12 12:00:00,https://jira.example.com/browse/JIRA-1039,Jira - User unable to login Application not responding after deployment activities.,jira - user unable to login application not responding after deployment activities.,11
JIRA-1023,Jira,Medium,Resolved,Security Ops,Application crash after update,Application not responding after deployment activities.,Memory leak issue,Optimized memory allocation and redeployed.,2025-01-23 05:00:00,2025-01-25 07:00:00,https://jira.example.com/browse/JIRA-1023,Jira - Application crash after update Application not responding after deployment activities.,jira - application crash after update application not responding after deployment activities.,11
CW-1092,CloudWatch,Critical,Resolved,Security Ops,S3 request latency unusually high,Failure trend observed across multiple Lambda executions.,Unbalanced traffic routing,Scaled instance type.,2025-01-25 09:00:00,2025-01-27 06:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1092,CloudWatch - S3 request latency unusually high Failure trend observed across multiple Lambda executions.,cloudwatch - s3 request latency unusually high failure trend observed across multiple lambda executions.,18
TAB-1198,Tableau,Low,In Progress,Network Ops,Tableau dashboard not refreshing,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-03 04:00:00,2025-01-05 00:00:00,https://tableau.example.com/views/TAB-1198,Tableau - Tableau dashboard not refreshing Interactive filters returning empty result set.,tableau - tableau dashboard not refreshing interactive filters returning empty result set.,6
CW-1196,CloudWatch,Medium,Closed,Cloud Team,CloudWatch alarm triggered for CPU threshold,Database storage reaching capacity limits.,High read/write operations,Optimized Lambda execution time.,2025-02-05 01:00:00,2025-02-07 11:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1196,CloudWatch - CloudWatch alarm triggered for CPU threshold Database storage reaching capacity limits.,cloudwatch - cloudwatch alarm triggered for cpu threshold database storage reaching capacity limits.,4
CW-1141,CloudWatch,Medium,Closed,Network Ops,CloudWatch alarm triggered for CPU threshold,Failure trend observed across multiple Lambda executions.,Infinite loop execution,Optimized Lambda execution time.,2025-01-04 23:00:00,2025-01-05 01:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1141,CloudWatch - CloudWatch alarm triggered for CPU threshold Failure trend observed across multiple Lambda executions.,cloudwatch - cloudwatch alarm triggered for cpu threshold failure trend observed across multiple lambda executions.,18
JIRA-1139,Jira,High,Closed,Cloud Team,Email service outage,System detected performance degradation across multiple nodes.,SSL handshake failure,Renewed authentication certificate.,2025-01-04 18:00:00,2025-01-07 15:00:00,https://jira.example.com/browse/JIRA-1139,Jira - Email service outage System detected performance degradation across multiple nodes.,jira - email service outage system detected performance degradation across multiple nodes.,19
TAB-1050,Tableau,Critical,Open,Network Ops,Slow performance on Tableau report,Scheduled extract refresh failure detected.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-02-02 13:00:00,2025-02-04 23:00:00,https://tableau.example.com/views/TAB-1050,Tableau - Slow performance on Tableau report Scheduled extract refresh failure detected.,tableau - slow performance on tableau report scheduled extract refresh failure detected.,14
JIRA-1174,Jira,Low,Closed,Security Ops,Database timeout issue,Database query execution time exceeding normal threshold.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-11 13:00:00,2025-01-11 15:00:00,https://jira.example.com/browse/JIRA-1174,Jira - Database timeout issue Database query execution time exceeding normal threshold.,jira - database timeout issue database query execution time exceeding normal threshold.,0
TAB-1123,Tableau,Medium,In Progress,Cloud Team,Dashboard filter not working,Scheduled extract refresh failure detected.,Data source credentials expired,Optimized query and reindexed table.,2025-01-17 01:00:00,2025-01-18 17:00:00,https://tableau.example.com/views/TAB-1123,Tableau - Dashboard filter not working Scheduled extract refresh failure detected.,tableau - dashboard filter not working scheduled extract refresh failure detected.,14
PBI-1195,PowerBI,Critical,Closed,Helpdesk,Report visuals not rendering,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-04 15:00:00,2025-01-04 16:00:00,https://app.powerbi.com/reports/PBI-1195,PowerBI - Report visuals not rendering Visuals stuck loading indefinitely.,powerbi - report visuals not rendering visuals stuck loading indefinitely.,17
PBI-1125,PowerBI,Medium,In Progress,Network Ops,Incorrect KPI values displayed,Scheduled data refresh encountered failure due to timeout.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-15 03:00:00,2025-01-17 17:00:00,https://app.powerbi.com/reports/PBI-1125,PowerBI - Incorrect KPI values displayed Scheduled data refresh encountered failure due to timeout.,powerbi - incorrect kpi values displayed scheduled data refresh encountered failure due to timeout.,8
PBI-1023,PowerBI,Low,Resolved,Cloud Team,Gateway connection error,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-15 05:00:00,2025-01-16 07:00:00,https://app.powerbi.com/reports/PBI-1023,PowerBI - Gateway connection error Visuals stuck loading indefinitely.,powerbi - gateway connection error visuals stuck loading indefinitely.,17
PBI-1196,PowerBI,Low,Closed,Network Ops,Report visuals not rendering,Unable to connect to on-prem data gateway.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-01-28 17:00:00,2025-01-31 03:00:00,https://app.powerbi.com/reports/PBI-1196,PowerBI - Report visuals not rendering Unable to connect to on-prem data gateway.,powerbi - report visuals not rendering unable to connect to on-prem data gateway.,16
CW-1004,CloudWatch,Medium,Resolved,Network Ops,Lambda timeout errors increasing,Failure trend observed across multiple Lambda executions.,Unoptimized workload placement,Increased allocated resources.,2025-01-15 18:00:00,2025-01-17 16:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1004,CloudWatch - Lambda timeout errors increasing Failure trend observed across multiple Lambda executions.,cloudwatch - lambda timeout errors increasing failure trend observed across multiple lambda executions.,18
PBI-1134,PowerBI,Critical,Closed,Cloud Team,Report visuals not rendering,Scheduled data refresh encountered failure due to timeout.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-26 10:00:00,2025-01-26 19:00:00,https://app.powerbi.com/reports/PBI-1134,PowerBI - Report visuals not rendering Scheduled data refresh encountered failure due to timeout.,powerbi - report visuals not rendering scheduled data refresh encountered failure due to timeout.,3
TAB-1065,Tableau,Critical,In Progress,Security Ops,Slow performance on Tableau report,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Updated credentials and reran extract.,2025-01-24 09:00:00,2025-01-24 17:00:00,https://tableau.example.com/views/TAB-1065,Tableau - Slow performance on Tableau report Scheduled extract refresh failure detected.,tableau - slow performance on tableau report scheduled extract refresh failure detected.,14
JIRA-1109,Jira,Medium,Resolved,Network Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-09 13:00:00,2025-01-09 23:00:00,https://jira.example.com/browse/JIRA-1109,Jira - VPN connection failure Users reported service disruptions affecting business workflow.,jira - vpn connection failure users reported service disruptions affecting business workflow.,12
CW-1066,CloudWatch,Medium,In Progress,DevOps,RDS free storage space critically low,Database storage reaching capacity limits.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-20 19:00:00,2025-01-23 07:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1066,CloudWatch - RDS free storage space critically low Database storage reaching capacity limits.,cloudwatch - rds free storage space critically low database storage reaching capacity limits.,4
TAB-1094,Tableau,High,In Progress,DBA Team,Missing data in visualization,Scheduled extract refresh failure detected.,Tableau server CPU overload,Optimized query and reindexed table.,2025-02-09 06:00:00,2025-02-09 07:00:00,https://tableau.example.com/views/TAB-1094,Tableau - Missing data in visualization Scheduled extract refresh failure detected.,tableau - missing data in visualization scheduled extract refresh failure detected.,14
TAB-1136,Tableau,Critical,Open,Security Ops,Dashboard filter not working,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-13 02:00:00,2025-01-15 02:00:00,https://tableau.example.com/views/TAB-1136,Tableau - Dashboard filter not working Scheduled extract refresh failure detected.,tableau - dashboard filter not working scheduled extract refresh failure detected.,14
TAB-1168,Tableau,Critical,Resolved,DevOps,Permission denied on shared dashboard,Interactive filters returning empty result set.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-15 04:00:00,2025-01-15 19:00:00,https://tableau.example.com/views/TAB-1168,Tableau - Permission denied on shared dashboard Interactive filters returning empty result set.,tableau - permission denied on shared dashboard interactive filters returning empty result set.,6
PBI-1046,PowerBI,Critical,Open,Security Ops,Incorrect KPI values displayed,Users reported mismatched revenue numbers in dashboard.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-01-31 00:00:00,2025-02-01 15:00:00,https://app.powerbi.com/reports/PBI-1046,PowerBI - Incorrect KPI values displayed Users reported mismatched revenue numbers in dashboard.,powerbi - incorrect kpi values displayed users reported mismatched revenue numbers in dashboard.,2
TAB-1133,Tableau,Low,Open,DBA Team,Extract refresh failed,Dashboard not showing newly ingested records.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-26 08:00:00,2025-01-28 21:00:00,https://tableau.example.com/views/TAB-1133,Tableau - Extract refresh failed Dashboard not showing newly ingested records.,tableau - extract refresh failed dashboard not showing newly ingested records.,1
JIRA-1198,Jira,Low,Open,Helpdesk,User unable to login,Application not responding after deployment activities.,Memory leak issue,Renewed authentication certificate.,2025-01-15 06:00:00,2025-01-16 00:00:00,https://jira.example.com/browse/JIRA-1198,Jira - User unable to login Application not responding after deployment activities.,jira - user unable to login application not responding after deployment activities.,11
JIRA-1168,Jira,Medium,In Progress,Cloud Team,503 service unavailable,Users reported service disruptions affecting business workflow.,Network latency spike,Resolved deadlock and restarted DB instance.,2025-01-28 01:00:00,2025-01-28 06:00:00,https://jira.example.com/browse/JIRA-1168,Jira - 503 service unavailable Users reported service disruptions affecting business workflow.,jira - 503 service unavailable users reported service disruptions affecting business workflow.,12
PBI-1081,PowerBI,Medium,Resolved,Network Ops,Gateway connection error,Visuals stuck loading indefinitely.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-02-07 17:00:00,2025-02-10 13:00:00,https://app.powerbi.com/reports/PBI-1081,PowerBI - Gateway connection error Visuals stuck loading indefinitely.,powerbi - gateway connection error visuals stuck loading indefinitely.,17
CW-1123,CloudWatch,Medium,Resolved,Cloud Team,ELB target health check failures,Monitoring detected abnormal spike in CPU usage.,Unbalanced traffic routing,Scaled instance type.,2025-01-08 17:00:00,2025-01-10 23:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1123,CloudWatch - ELB target health check failures Monitoring detected abnormal spike in CPU usage.,cloudwatch - elb target health check failures monitoring detected abnormal spike in cpu usage.,13
CW-1055,CloudWatch,Low,Open,DevOps,S3 request latency unusually high,Elevated latency impacting application performance.,Infinite loop execution,Increased allocated resources.,2025-01-01 02:00:00,2025-01-02 11:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1055,CloudWatch - S3 request latency unusually high Elevated latency impacting application performance.,cloudwatch - s3 request latency unusually high elevated latency impacting application performance.,5
TAB-1106,Tableau,High,Closed,Security Ops,Permission denied on shared dashboard,Interactive filters returning empty result set.,Data source credentials expired,Updated credentials and reran extract.,2025-01-20 10:00:00,2025-01-22 00:00:00,https://tableau.example.com/views/TAB-1106,Tableau - Permission denied on shared dashboard Interactive filters returning empty result set.,tableau - permission denied on shared dashboard interactive filters returning empty result set.,6
TAB-1031,Tableau,Critical,Closed,Helpdesk,Permission denied on shared dashboard,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Optimized query and reindexed table.,2025-01-30 19:00:00,2025-02-01 16:00:00,https://tableau.example.com/views/TAB-1031,Tableau - Permission denied on shared dashboard Scheduled extract refresh failure detected.,tableau - permission denied on shared dashboard scheduled extract refresh failure detected.,14
PBI-1022,PowerBI,High,Closed,Cloud Team,Slow dataset refresh performance,Visuals stuck loading indefinitely.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-09 04:00:00,2025-01-10 10:00:00,https://app.powerbi.com/reports/PBI-1022,PowerBI - Slow dataset refresh performance Visuals stuck loading indefinitely.,powerbi - slow dataset refresh performance visuals stuck loading indefinitely.,17
JIRA-1049,Jira,Critical,Resolved,Network Ops,High CPU usage on server,Authentication request failed repeatedly for end users.,SSL handshake failure,Optimized memory allocation and redeployed.,2025-01-09 19:00:00,2025-01-10 15:00:00,https://jira.example.com/browse/JIRA-1049,Jira - High CPU usage on server Authentication request failed repeatedly for end users.,jira - high cpu usage on server authentication request failed repeatedly for end users.,15
CW-1187,CloudWatch,Low,Open,Cloud Team,RDS free storage space critically low,Monitoring detected abnormal spike in CPU usage.,Unbalanced traffic routing,Increased allocated resources.,2025-01-25 11:00:00,2025-01-26 05:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1187,CloudWatch - RDS free storage space critically low Monitoring detected abnormal spike in CPU usage.,cloudwatch - rds free storage space critically low monitoring detected abnormal spike in cpu usage.,18
TAB-1157,Tableau,Medium,In Progress,Cloud Team,Missing data in visualization,Interactive filters returning empty result set.,Network throttling issue,Adjusted filter logic and republished dashboard.,2025-01-14 10:00:00,2025-01-14 11:00:00,https://tableau.example.com/views/TAB-1157,Tableau - Missing data in visualization Interactive filters returning empty result set.,tableau - missing data in visualization interactive filters returning empty result set.,6
JIRA-1086,Jira,High,Open,DBA Team,User unable to login,Service unreachable due to network routing failure.,Memory leak issue,Renewed authentication certificate.,2025-02-01 11:00:00,2025-02-04 02:00:00,https://jira.example.com/browse/JIRA-1086,Jira - User unable to login Service unreachable due to network routing failure.,jira - user unable to login service unreachable due to network routing failure.,9
PBI-1145,PowerBI,Low,Open,DevOps,Slow dataset refresh performance,Unable to connect to on-prem data gateway.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-01-21 05:00:00,2025-01-24 02:00:00,https://app.powerbi.com/reports/PBI-1145,PowerBI - Slow dataset refresh performance Unable to connect to on-prem data gateway.,powerbi - slow dataset refresh performance unable to connect to on-prem data gateway.,16
JIRA-1192,Jira,High,Open,Cloud Team,Disk space running low,System detected performance degradation across multiple nodes.,Expired authentication token,Optimized memory allocation and redeployed.,2025-01-06 19:00:00,2025-01-06 23:00:00,https://jira.example.com/browse/JIRA-1192,Jira - Disk space running low System detected performance degradation across multiple nodes.,jira - disk space running low system detected performance degradation across multiple nodes.,19
